username,prize
ID-cynthiapesek,"25,628"
EdinDzeko,"25,570"
phattin1675,"25,454"
duchien214,"22,421"
Thieugia2988,"20,727"
quanzui82,"20,146"
binhdn38,"18,918"
nongfu1,"18,893"
rittikrai,"18,051"
sungak47,"17,265"
bluebiru,"17,000"
maivanhung33,"16,923"
kakashiza,"16,874"
hvtai,"16,270"
kiennt82,"15,660"
